0/0	0:02:14
0/0	0:07:14
0/0	0:12:14
0/0	0:17:14
0/0	0:22:14
0/0	0:27:14
0/0	0:32:14
0/1	0:37:14
0/0	0:42:14
0/0	0:47:14
0/0	0:52:14
0/0	0:57:14
0/0	1:02:14
0/0	1:07:14
0/0	1:12:14
0/0	1:17:14
0/0	1:22:14
0/0	1:27:14
0/0	1:32:14
0/0	1:37:14
0/0	1:42:14
0/0	1:47:14
0/0	1:52:14
0/0	1:57:14
0/0	2:02:14
0/0	2:07:14
0/0	2:12:14
0/0	2:17:14
0/0	2:22:14
0/0	2:27:14
0/0	2:32:14
0/0	2:37:14
0/0	2:42:14
0/0	2:47:14
0/0	2:52:14
0/0	2:57:14
0/0	3:02:14
0/0	3:07:14
0/0	3:12:14
0/0	3:17:14
0/0	3:22:14
0/0	3:27:14
0/0	3:32:14
0/0	3:37:14
0/0	3:42:14
0/0	3:47:14
0/0	3:52:14
0/0	3:57:14
0/0	4:02:14
0/0	4:07:14
0/0	4:12:14
0/0	4:17:14
0/0	4:22:14
0/0	4:27:14
0/0	4:32:14
0/0	4:37:14
0/0	4:42:14
0/0	4:47:14
0/0	4:52:14
0/0	4:57:14
0/0	5:02:14
0/0	5:07:14
0/0	5:12:14
0/0	5:17:14
0/0	5:22:14
0/0	5:27:14
0/0	5:32:14
0/0	5:37:14
0/0	5:42:14
0/0	5:47:14
0/0	5:52:14
0/0	5:57:14
0/0	6:02:14
0/0	6:07:14
0/0	6:12:14
0/0	6:17:14
0/0	6:22:14
0/0	6:27:14
0/0	6:32:14
0/0	6:37:14
0/0	6:42:14
0/0	6:47:14
0/0	6:52:14
0/0	6:57:14
0/0	7:02:14
0/0	7:07:14
0/0	7:12:14
0/0	7:17:14
0/0	7:22:14
0/0	7:27:14
0/0	7:32:14
0/0	7:37:14
0/0	7:42:14
0/0	7:47:14
0/0	7:52:14
0/0	7:57:14
0/1	8:02:14
0/0	8:07:14
0/0	8:12:14
0/0	8:17:14
0/0	8:22:14
0/0	8:27:14
0/0	8:32:14
0/0	8:37:14
0/0	8:42:14
1/1	8:47:14
1/1	8:52:14
0/1	8:57:14
0/0	9:02:14
1/1	9:07:14
0/2	9:12:14
0/0	9:17:14
1/1	9:22:14
1/1	9:27:14
0/1	9:32:14
1/1	9:37:14
0/1	9:42:14
0/1	9:47:14
1/1	9:52:14
0/1	9:57:14
0/0	10:02:14
0/0	10:07:14
0/0	10:12:14
0/0	10:17:14
0/0	10:22:14
0/0	10:27:14
0/0	10:32:14
0/0	10:37:14
0/0	10:42:14
0/0	10:47:14
1/1	10:52:14
1/1	10:57:14
1/1	11:02:14
1/1	11:07:14
0/1	11:12:14
0/1	11:17:14
0/1	11:22:14
0/0	11:27:14
0/0	11:32:14
0/1	11:37:14
0/1	11:42:14
0/1	11:47:14
1/1	11:52:14
1/1	11:57:14
1/1	12:02:14
1/1	12:07:14
0/1	12:12:14
0/1	12:17:14
0/1	12:22:14
0/0	12:27:14
0/1	12:32:14
0/0	12:37:14
0/0	12:42:14
0/0	12:47:14
0/0	12:52:14
0/0	12:57:14
0/0	13:02:14
0/0	13:07:14
0/0	13:12:14
0/0	13:17:14
0/0	13:22:14
0/0	13:27:14
0/0	13:32:14
0/0	13:37:14
0/0	13:42:14
0/0	13:47:14
0/0	13:52:14
0/0	13:57:14
0/0	14:02:14
0/0	14:07:14
0/0	14:12:14
0/0	14:17:14
0/0	14:22:14
0/0	14:27:14
1/1	14:32:14
1/1	14:37:14
0/1	14:42:14
0/0	14:47:14
0/0	14:52:14
0/0	14:57:14
0/0	15:02:14
0/0	15:07:14
1/1	15:12:14
0/1	15:17:14
1/1	15:22:14
1/1	15:27:14
0/1	15:32:14
1/1	15:37:14
0/1	15:42:14
0/1	15:47:14
1/1	15:52:14
1/1	15:57:14
1/1	16:02:14
0/1	16:07:14
1/1	16:12:14
1/1	16:17:14
1/1	16:22:14
1/1	16:27:14
0/1	16:32:14
0/0	16:37:14
0/0	16:42:14
0/0	16:47:14
0/0	16:52:14
0/1	16:57:14
0/0	17:02:14
0/1	17:07:14
1/1	17:12:14
0/1	17:17:14
0/0	17:22:14
0/0	17:27:14
1/1	17:32:14
1/1	17:37:14
0/1	17:42:14
0/1	17:47:14
0/0	17:52:14
0/0	17:57:14
0/0	18:02:14
0/1	18:07:14
1/1	18:12:14
0/1	18:17:14
0/1	18:22:14
0/0	18:27:14
0/1	18:32:14
1/1	18:37:14
0/2	18:42:14
2/2	18:47:14
2/2	18:52:14
2/2	18:57:14
2/2	19:02:14
2/2	19:07:14
2/2	19:12:14
2/2	19:17:14
2/2	19:22:14
2/2	19:27:14
2/2	19:32:14
0/2	19:37:14
0/0	19:42:14
0/0	19:47:14
0/0	19:52:14
0/0	19:57:14
0/0	20:02:14
0/0	20:07:14
0/0	20:12:14
0/0	20:17:14
0/0	20:22:14
0/0	20:27:14
0/0	20:32:14
0/0	20:37:14
0/0	20:42:14
0/0	20:47:14
0/0	20:52:14
1/1	20:57:14
0/1	21:02:14
