0/0	0:04:50
0/0	0:09:50
0/0	0:14:50
0/0	0:19:50
0/0	0:24:50
0/0	0:29:50
0/0	0:34:50
0/0	0:39:50
0/0	0:44:50
0/1	0:49:50
1/1	0:54:50
1/1	0:59:50
0/1	1:04:50
0/0	1:09:50
0/0	1:14:50
0/0	1:19:50
0/0	1:24:50
0/0	1:29:50
0/0	1:34:50
0/0	1:39:50
0/0	1:44:50
0/0	1:49:50
0/0	1:54:50
0/0	1:59:50
0/0	2:04:50
0/0	2:09:50
0/0	2:14:50
0/0	2:19:50
0/0	2:24:50
0/0	2:29:50
0/0	2:34:50
0/0	2:39:50
0/0	2:44:50
0/0	2:49:50
0/0	2:54:50
0/0	2:59:50
0/0	3:04:50
0/0	3:09:50
0/0	3:14:50
0/0	3:19:50
0/0	3:24:50
0/0	3:29:50
0/0	3:34:50
0/0	3:39:50
0/0	3:44:50
0/0	3:49:50
0/0	3:54:50
0/0	3:59:50
0/0	4:04:50
0/0	4:09:50
0/0	4:14:50
0/0	4:19:50
0/0	4:24:50
0/0	4:29:50
0/0	4:34:50
0/0	4:39:50
0/0	4:44:50
0/0	4:49:50
0/0	4:54:50
0/0	4:59:50
0/0	5:04:50
0/0	5:09:50
0/0	5:14:50
0/0	5:19:50
0/0	5:24:50
0/0	5:29:50
0/0	5:34:50
0/0	5:39:50
0/0	5:44:50
0/0	5:49:50
0/0	5:54:50
0/0	5:59:50
0/0	6:04:50
0/0	6:09:50
0/0	6:14:50
0/0	6:19:50
0/0	6:24:50
0/0	6:29:50
0/0	6:34:50
0/0	6:39:50
0/0	6:44:50
0/0	6:49:50
0/0	6:54:50
0/0	6:59:50
0/0	7:04:50
0/0	7:09:50
0/0	7:14:50
0/0	7:19:50
0/0	7:24:50
0/0	7:29:50
0/0	7:34:50
0/0	7:39:50
0/0	7:44:50
0/0	7:49:50
0/0	7:54:50
0/0	7:59:50
0/0	8:04:50
0/0	8:09:50
0/0	8:14:50
0/0	8:19:50
0/0	8:24:50
0/0	8:29:50
0/0	8:34:50
0/0	8:39:50
0/0	8:44:50
0/0	8:49:50
0/0	8:54:50
1/1	8:59:50
0/1	9:04:50
1/1	9:09:50
1/1	9:14:50
1/1	9:19:50
1/1	9:24:50
1/1	9:29:50
